iter	Passed	Remaining
0	3	3369
1	9	4873
2	12	4137
3	14	3601
4	16	3244
5	22	3804
6	24	3542
7	27	3360
8	28	3178
9	30	2998
10	31	2853
11	33	2758
12	36	2807
13	39	2756
14	41	2720
15	43	2659
16	45	2612
17	46	2559
18	49	2536
19	51	2520
20	53	2474
21	54	2442
22	57	2444
23	59	2413
24	62	2430
25	68	2549
26	73	2644
27	76	2642
28	78	2612
29	79	2572
30	82	2570
31	83	2538
32	87	2557
33	92	2627
34	94	2595
35	103	2759
36	105	2737
37	107	2711
38	109	2689
39	110	2657
40	116	2720
41	119	2734
42	121	2703
43	122	2672
44	124	2644
45	132	2757
46	134	2733
47	136	2712
48	138	2695
49	140	2672
50	145	2709
51	147	2682
52	148	2658
53	150	2634
54	152	2614
55	154	2604
56	160	2661
57	162	2639
58	164	2622
59	166	2600
60	167	2579
61	173	2630
62	175	2607
63	176	2585
64	178	2565
65	179	2544
66	181	2522
67	182	2502
68	187	2535
69	189	2521
70	191	2503
71	193	2487
72	194	2472
73	196	2458
74	198	2443
75	204	2480
76	205	2467
77	207	2453
78	209	2438
79	210	2424
80	212	2410
81	216	2426
82	217	2406
83	219	2394
84	221	2379
85	222	2366
86	224	2354
87	226	2344
88	227	2331
89	231	2342
90	233	2329
91	234	2315
92	236	2301
93	237	2288
94	238	2275
95	240	2263
96	241	2252
97	244	2254
98	246	2246
99	248	2234
100	249	2223
101	251	2211
102	252	2200
103	254	2188
104	255	2177
105	257	2168
106	261	2184
107	263	2174
108	265	2166
109	266	2157
110	268	2148
111	269	2139
112	271	2130
113	272	2120
114	275	2123
115	277	2114
116	278	2102
117	280	2093
118	281	2083
119	282	2074
120	284	2066
121	285	2057
122	287	2048
123	291	2059
124	293	2051
125	294	2044
126	295	2033
127	297	2025
128	298	2016
129	300	2010
130	301	2002
131	305	2008
132	307	2002
133	308	1995
134	310	1987
135	311	1980
136	313	1976
137	315	1969
138	316	1961
139	319	1963
140	321	1958
141	322	1948
142	323	1940
143	325	1933
144	326	1926
145	328	1919
146	329	1913
147	331	1906
148	334	1910
149	336	1906
150	337	1899
151	339	1893
152	340	1886
153	342	1880
154	343	1874
155	345	1867
156	346	1860
157	350	1867
158	351	1861
159	353	1855
160	354	1846
161	356	1841
162	357	1837
163	359	1831
164	360	1826
165	364	1831
166	366	1827
167	368	1823
168	369	1817
169	371	1813
170	373	1809
171	375	1808
172	380	1818
173	382	1815
174	384	1810
175	385	1805
176	386	1799
177	388	1793
178	389	1787
179	391	1782
180	395	1788
181	396	1783
182	398	1778
183	400	1774
184	401	1769
185	403	1764
186	404	1758
187	405	1753
188	408	1751
189	410	1748
190	411	1744
191	413	1740
192	415	1735
193	416	1731
194	419	1733
195	421	1728
196	425	1733
197	426	1729
198	428	1724
199	429	1719
200	431	1714
201	432	1709
202	434	1704
203	435	1699
204	439	1702
205	440	1698
206	442	1694
207	443	1689
208	445	1684
209	446	1680
210	448	1676
211	449	1671
212	451	1666
213	454	1668
214	456	1667
215	459	1667
216	460	1663
217	462	1659
218	464	1657
219	466	1653
220	471	1661
221	472	1657
222	474	1653
223	476	1650
224	478	1647
225	479	1643
226	481	1639
227	485	1645
228	487	1642
229	489	1638
230	490	1634
231	492	1630
232	495	1630
233	497	1628
234	501	1634
235	503	1630
236	505	1627
237	507	1623
238	508	1619
239	510	1615
240	514	1621
241	516	1618
242	518	1614
243	520	1613
244	522	1609
245	523	1604
246	524	1600
247	529	1604
248	531	1601
249	532	1597
250	534	1595
251	536	1592
252	537	1587
